customer_id,order_id,purchase_date,purchase_amount,product_category
CUST001,ORD001,2023-01-15,89.99,Electronics
CUST002,ORD002,2023-01-16,45.50,Clothing
CUST003,ORD003,2023-01-17,129.99,Electronics
CUST001,ORD004,2023-01-20,34.99,Home
CUST004,ORD005,2023-01-22,199.99,Electronics
CUST002,ORD006,2023-01-25,67.99,Clothing
CUST005,ORD007,2023-01-28,89.99,Books
CUST003,ORD008,2023-02-01,299.99,Electronics
CUST006,ORD009,2023-02-03,45.99,Home
CUST001,ORD010,2023-02-05,99.99,Electronics
CUST007,ORD011,2023-02-08,25.99,Books
CUST004,ORD012,2023-02-10,149.99,Electronics
CUST008,ORD013,2023-02-12,78.50,Clothing
CUST002,ORD014,2023-02-15,56.99,Clothing
CUST009,ORD015,2023-02-18,189.99,Electronics
CUST005,ORD016,2023-02-20,34.99,Books
CUST010,ORD017,2023-02-22,89.99,Home
CUST003,ORD018,2023-02-25,449.99,Electronics
CUST006,ORD019,2023-02-28,67.99,Home
CUST001,ORD020,2023-03-02,159.99,Electronics
CUST011,ORD021,2023-03-05,23.99,Books
CUST007,ORD022,2023-03-08,89.99,Clothing
CUST012,ORD023,2023-03-10,199.99,Electronics
CUST004,ORD024,2023-03-12,78.99,Electronics
CUST013,ORD025,2023-03-15,345.99,Electronics
CUST008,ORD026,2023-03-18,45.99,Clothing
CUST002,ORD027,2023-03-20,89.99,Clothing
CUST014,ORD028,2023-03-22,125.99,Home
CUST009,ORD029,2023-03-25,67.99,Electronics
CUST015,ORD030,2023-03-28,234.99,Electronics
CUST005,ORD031,2023-04-01,45.99,Books
CUST010,ORD032,2023-04-03,156.99,Home
CUST016,ORD033,2023-04-05,89.99,Clothing
CUST003,ORD034,2023-04-08,299.99,Electronics
CUST017,ORD035,2023-04-10,67.99,Books
CUST011,ORD036,2023-04-12,178.99,Electronics
CUST001,ORD037,2023-04-15,99.99,Electronics
CUST018,ORD038,2023-04-18,45.99,Home
CUST012,ORD039,2023-04-20,234.99,Electronics
CUST006,ORD040,2023-04-22,89.99,Home
CUST019,ORD041,2023-04-25,156.99,Electronics
CUST007,ORD042,2023-04-28,34.99,Clothing
CUST020,ORD043,2023-05-01,199.99,Electronics
CUST013,ORD044,2023-05-03,78.99,Electronics
CUST008,ORD045,2023-05-05,67.99,Clothing
CUST021,ORD046,2023-05-08,345.99,Electronics
CUST014,ORD047,2023-05-10,89.99,Home
CUST004,ORD048,2023-05-12,234.99,Electronics
CUST022,ORD049,2023-05-15,45.99,Books
CUST015,ORD050,2023-05-18,156.99,Electronics
CUST009,ORD051,2023-05-20,99.99,Electronics
CUST023,ORD052,2023-05-22,289.99,Electronics
CUST016,ORD053,2023-05-25,67.99,Clothing
CUST002,ORD054,2023-05-28,89.99,Clothing
CUST024,ORD055,2023-06-01,178.99,Electronics
CUST017,ORD056,2023-06-03,34.99,Books
CUST010,ORD057,2023-06-05,234.99,Home
CUST025,ORD058,2023-06-08,45.99,Electronics
CUST018,ORD059,2023-06-10,156.99,Home
CUST003,ORD060,2023-06-12,399.99,Electronics
CUST026,ORD061,2023-06-15,67.99,Clothing
CUST011,ORD062,2023-06-18,89.99,Electronics
CUST027,ORD063,2023-06-20,234.99,Electronics
CUST019,ORD064,2023-06-22,99.99,Electronics
CUST005,ORD065,2023-06-25,45.99,Books
CUST028,ORD066,2023-06-28,289.99,Electronics
CUST020,ORD067,2023-07-01,156.99,Electronics
CUST012,ORD068,2023-07-03,78.99,Electronics
CUST029,ORD069,2023-07-05,345.99,Electronics
CUST006,ORD070,2023-07-08,67.99,Home
CUST021,ORD071,2023-07-10,234.99,Electronics
CUST030,ORD072,2023-07-12,89.99,Books
CUST013,ORD073,2023-07-15,199.99,Electronics
CUST007,ORD074,2023-07-18,45.99,Clothing
CUST022,ORD075,2023-07-20,156.99,Books
CUST014,ORD076,2023-07-22,289.99,Home
CUST031,ORD077,2023-07-25,99.99,Electronics
CUST023,ORD078,2023-07-28,234.99,Electronics
CUST008,ORD079,2023-08-01,67.99,Clothing
CUST032,ORD080,2023-08-03,178.99,Electronics
CUST015,ORD081,2023-08-05,345.99,Electronics
CUST024,ORD082,2023-08-08,89.99,Electronics
CUST033,ORD083,2023-08-10,156.99,Home
CUST016,ORD084,2023-08-12,45.99,Clothing
CUST001,ORD085,2023-08-15,234.99,Electronics
CUST034,ORD086,2023-08-18,99.99,Books
CUST025,ORD087,2023-08-20,289.99,Electronics
CUST017,ORD088,2023-08-22,67.99,Books
CUST035,ORD089,2023-08-25,199.99,Electronics
CUST026,ORD090,2023-08-28,78.99,Clothing
CUST009,ORD091,2023-09-01,345.99,Electronics
CUST036,ORD092,2023-09-03,156.99,Home
CUST018,ORD093,2023-09-05,89.99,Home
CUST027,ORD094,2023-09-08,234.99,Electronics
CUST037,ORD095,2023-09-10,45.99,Books
CUST019,ORD096,2023-09-12,199.99,Electronics
CUST028,ORD097,2023-09-15,99.99,Electronics
CUST038,ORD098,2023-09-18,289.99,Electronics
CUST010,ORD099,2023-09-20,67.99,Home
CUST029,ORD100,2023-09-22,178.99,Electronics 
